date,price,MACD,RSI,BVOL_Index,BB_upper,BB_lower,EMA_20,EMA_50,SMA
2020-03-18,5238.44,0.0,21.87,,10728.85,-7390.85,5238.44,5238.44,6955.01
2020-03-17,5225.63,-1.02,21.61,1.78,10799.79,-7568.15,5237.22,5237.94,7191.63
2020-03-16,5014.48,-18.65,22.48,1.78,10827.24,-7747.9,5216.01,5229.17,7434.57
2020-03-15,5392.31,-2.12,24.02,1.77,10836.03,-7964.26,5232.8,5235.57,7671.1
2020-03-14,5200.37,-4.45,21.02,1.76,10871.96,-8177.15,5229.71,5234.19,7884.91
2020-03-13,5563.71,22.76,22.65,1.75,10822.58,-8413.36,5261.52,5247.11,8116.39
2020-03-12,4970.79,-3.48,12.46,1.75,10679.09,-8618.33,5233.83,5236.28,8331.11
2020-03-11,7911.43,210.58,24.3,1.68,10059.05,-8854.12,5488.84,5341.19,8587.75
2020-03-10,7909.73,375.76,21.83,0.57,10102.69,-8938.97,5719.4,5441.91,8683.11
2020-03-09,7923.64,502.0,20.05,0.57,10121.27,-9025.15,5929.33,5539.24,8799.14
2020-03-08,8108.12,609.9,26.83,0.59,10211.64,-9136.07,6136.83,5639.98,8932.53
2020-03-07,8909.95,751.45,35.12,0.58,10201.41,-9215.17,6400.94,5768.21,9036.2
2020-03-06,9122.55,870.75,40.41,0.49,10291.54,-9266.4,6660.14,5899.75,9087.96
2020-03-05,9078.76,950.8,39.49,0.49,10364.03,-9304.74,6890.48,6024.42,9120.36
2020-03-04,8755.25,976.88,24.1,0.52,10510.51,-9366.41,7068.08,6131.51,9157.34
2020-03-03,8787.79,988.77,35.37,0.5,10605.26,-9439.36,7231.86,6235.68,9249.79
2020-03-02,8869.67,993.35,34.15,0.5,10703.94,-9516.28,7387.84,6338.97,9309.94
2020-03-01,8562.45,961.11,27.85,0.5,10768.31,-9583.2,7499.71,6426.17,9380.93
2020-02-29,8599.51,927.86,24.66,0.48,10735.67,-9647.91,7604.45,6511.4,9469.39
2020-02-28,8672.46,897.05,27.32,0.49,10710.61,-9723.77,7706.17,6596.14,9583.56
2020-02-27,8784.49,871.63,27.37,0.49,10638.03,-9783.4,7808.87,6681.96,9686.36
2020-02-26,8820.52,844.65,29.78,0.49,10547.83,-9833.98,7905.21,6765.83,9789.13
2020-02-25,9341.71,855.46,41.95,0.52,10415.11,-9879.44,8042.02,6866.84,9881.64
